id,text,words,ner_tags,cleaned_text,lemmatized_text,gliner_entities,spacy_entities
en-doc6310-sent2,Daihachi Oguchi was originally known for his jazz drumming performances .,"['Daihachi', 'Oguchi', 'was', 'originally', 'known', 'for', 'his', 'jazz', 'drumming', 'performances', '.']","[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",daihachi oguchi was originally known for his jazz drumming performances,daihachi oguchi be originally know for his jazz drum performance,"[{'start': 0, 'end': 15, 'text': 'Daihachi Oguchi', 'label': 'person', 'score': 0.977185070514679}]","[{'text': 'daihachi oguchi', 'start': 0, 'end': 15, 'label': 'PER'}]"
en-doc6179-sent44,"France suffered this fate in the 16th century in the series of conflicts known as the French Wars of Religion , which ended in the triumph of the Bourbon Dynasty .","['France', 'suffered', 'this', 'fate', 'in', 'the', '16th', 'century', 'in', 'the', 'series', 'of', 'conflicts', 'known', 'as', 'the', 'French', 'Wars', 'of', 'Religion', ',', 'which', 'ended', 'in', 'the', 'triumph', 'of', 'the', 'Bourbon', 'Dynasty', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0]",france suffered this fate in the 16th century in the series of conflicts known as the french wars of religion which ended in the triumph of the bourbon dynasty,france suffer this fate in the 16th century in the series of conflict know as the french war of religion which end in the triumph of the bourbon dynasty,"[{'start': 0, 'end': 6, 'text': 'France', 'label': 'location', 'score': 0.970382034778595}, {'start': 146, 'end': 161, 'text': 'Bourbon Dynasty', 'label': 'organization', 'score': 0.9188448786735535}]","[{'text': 'france', 'start': 0, 'end': 6, 'label': 'LOC'}, {'text': 'french', 'start': 86, 'end': 92, 'label': 'MISC'}]"
en-doc5938-sent52,"They fought on the front line as fighters during the critical early years of the Pacific War , and the durability and bomb-carrying abilities ( 1,000 lb/454 kg ) of the P-40 also made it ideal for the ground attack role .","['They', 'fought', 'on', 'the', 'front', 'line', 'as', 'fighters', 'during', 'the', 'critical', 'early', 'years', 'of', 'the', 'Pacific', 'War', ',', 'and', 'the', 'durability', 'and', 'bomb-carrying', 'abilities', '(', '1,000', 'lb/454', 'kg', ')', 'of', 'the', 'P-40', 'also', 'made', 'it', 'ideal', 'for', 'the', 'ground', 'attack', 'role', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",they fought on the front line as fighters during the critical early years of the pacific war and the durability and bomb carrying abilities 1 000 lb 454 kg of the p 40 also made it ideal for the ground attack role,they fight on the front line as fighter during the critical early year of the pacific war and the durability and bomb carry ability 1 000 lb 454 kg of the p 40 also make it ideal for the ground attack role,"[{'start': 0, 'end': 4, 'text': 'They', 'label': 'person', 'score': 0.32669883966445923}, {'start': 19, 'end': 29, 'text': 'front line', 'label': 'location', 'score': 0.6589315533638}, {'start': 33, 'end': 41, 'text': 'fighters', 'label': 'person', 'score': 0.36342617869377136}, {'start': 81, 'end': 92, 'text': 'Pacific War', 'label': 'location', 'score': 0.4304769039154053}]",[]
en-doc6387-sent33,"FNC has a number of different signature hosts , including Bill O'Reilly , Sean Hannity , Greta Van Susteren , Mike Huckabee , Shepard Smith , & Neil Cavuto all of whom host programs which are on the list of the top ten most watched programs on cable news .","['FNC', 'has', 'a', 'number', 'of', 'different', 'signature', 'hosts', ',', 'including', 'Bill', ""O'Reilly"", ',', 'Sean', 'Hannity', ',', 'Greta', 'Van', 'Susteren', ',', 'Mike', 'Huckabee', ',', 'Shepard', 'Smith', ',', '&', 'Neil', 'Cavuto', 'all', 'of', 'whom', 'host', 'programs', 'which', 'are', 'on', 'the', 'list', 'of', 'the', 'top', 'ten', 'most', 'watched', 'programs', 'on', 'cable', 'news', '.']","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 0, 2, 2, 2, 0, 2, 2, 0, 2, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",fnc has a number of different signature hosts including bill o reilly sean hannity greta van susteren mike huckabee shepard smith neil cavuto all of whom host programs which are on the list of the top ten most watched programs on cable news,fnc have a number of different signature host include bill o reilly sean hannity greta van susteren mike huckabee shepard smith neil cavuto all of whom host program which be on the list of the top ten most watch program on cable news,"[{'start': 0, 'end': 3, 'text': 'FNC', 'label': 'organization', 'score': 0.9533155560493469}, {'start': 58, 'end': 71, 'text': ""Bill O'Reilly"", 'label': 'person', 'score': 0.9240325689315796}, {'start': 74, 'end': 86, 'text': 'Sean Hannity', 'label': 'person', 'score': 0.9802306294441223}, {'start': 89, 'end': 107, 'text': 'Greta Van Susteren', 'label': 'person', 'score': 0.9413686990737915}, {'start': 110, 'end': 123, 'text': 'Mike Huckabee', 'label': 'person', 'score': 0.9754888415336609}, {'start': 126, 'end': 139, 'text': 'Shepard Smith', 'label': 'person', 'score': 0.9710511565208435}, {'start': 144, 'end': 155, 'text': 'Neil Cavuto', 'label': 'person', 'score': 0.9575129151344299}]","[{'text': 'sean', 'start': 70, 'end': 74, 'label': 'MISC'}, {'text': 'van susteren mike', 'start': 89, 'end': 106, 'label': 'PER'}]"
en-doc5848-sent15,With time the Armenian language made a transition from a synthetic language ( Old Armenian or Grabar ) to a typical analytic language with Middle Armenian as a midpoint in this transition .,"['With', 'time', 'the', 'Armenian', 'language', 'made', 'a', 'transition', 'from', 'a', 'synthetic', 'language', '(', 'Old', 'Armenian', 'or', 'Grabar', ')', 'to', 'a', 'typical', 'analytic', 'language', 'with', 'Middle', 'Armenian', 'as', 'a', 'midpoint', 'in', 'this', 'transition', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",with time the armenian language made a transition from a synthetic language old armenian or grabar to a typical analytic language with middle armenian as a midpoint in this transition,with time the armenian language make a transition from a synthetic language old armenian or grabar to a typical analytic language with middle armenian as a midpoint in this transition,[],"[{'text': 'armenian', 'start': 14, 'end': 22, 'label': 'MISC'}, {'text': 'armenian', 'start': 80, 'end': 88, 'label': 'MISC'}]"
en-doc6209-sent52,"The Burghers of Calais depicts the men as they are leaving for the king 's camp , carrying keys to the town 's gates and citadel .","['The', 'Burghers', 'of', 'Calais', 'depicts', 'the', 'men', 'as', 'they', 'are', 'leaving', 'for', 'the', 'king', ""'s"", 'camp', ',', 'carrying', 'keys', 'to', 'the', 'town', ""'s"", 'gates', 'and', 'citadel', '.']","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",the burghers of calais depicts the men as they are leaving for the king s camp carrying keys to the town s gates and citadel,the burgher of calais depict the man as they be leave for the king s camp carry key to the town s gate and citadel,"[{'start': 0, 'end': 22, 'text': 'The Burghers of Calais', 'label': 'organization', 'score': 0.7386374473571777}, {'start': 67, 'end': 71, 'text': 'king', 'label': 'person', 'score': 0.7207234501838684}, {'start': 103, 'end': 107, 'text': 'town', 'label': 'location', 'score': 0.3884437680244446}, {'start': 121, 'end': 128, 'text': 'citadel', 'label': 'location', 'score': 0.5293383598327637}]",[]
en-doc5894-sent29,"In contrast to the political and environmental subjects addressed on the previous album , the songs on Some Great Reward were mostly concerned with more personal themes such as sexual politics ( "" Master and Servant "" ) , adulterous relationships , and arbitrary divine justice ( "" Blasphemous Rumours "" ) .","['In', 'contrast', 'to', 'the', 'political', 'and', 'environmental', 'subjects', 'addressed', 'on', 'the', 'previous', 'album', ',', 'the', 'songs', 'on', 'Some', 'Great', 'Reward', 'were', 'mostly', 'concerned', 'with', 'more', 'personal', 'themes', 'such', 'as', 'sexual', 'politics', '(', '""', 'Master', 'and', 'Servant', '""', ')', ',', 'adulterous', 'relationships', ',', 'and', 'arbitrary', 'divine', 'justice', '(', '""', 'Blasphemous', 'Rumours', '""', ')', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",in contrast to the political and environmental subjects addressed on the previous album the songs on some great reward were mostly concerned with more personal themes such as sexual politics master and servant adulterous relationships and arbitrary divine justice blasphemous rumours,in contrast to the political and environmental subject address on the previous album the song on some great reward be mostly concerned with more personal theme such as sexual politics master and servant adulterous relationship and arbitrary divine justice blasphemous rumour,"[{'start': 177, 'end': 192, 'text': 'sexual politics', 'label': 'miscellaneous', 'score': 0.40727099776268005}, {'start': 197, 'end': 215, 'text': 'Master and Servant', 'label': 'person', 'score': 0.6823927760124207}, {'start': 222, 'end': 246, 'text': 'adulterous relationships', 'label': 'miscellaneous', 'score': 0.4185563623905182}, {'start': 253, 'end': 277, 'text': 'arbitrary divine justice', 'label': 'miscellaneous', 'score': 0.31782498955726624}, {'start': 282, 'end': 301, 'text': 'Blasphemous Rumours', 'label': 'miscellaneous', 'score': 0.39079633355140686}]",[]
en-doc5806-sent0,The Hittites appear to be the first to understand the production of iron from its ores and regard it highly in their society .,"['The', 'Hittites', 'appear', 'to', 'be', 'the', 'first', 'to', 'understand', 'the', 'production', 'of', 'iron', 'from', 'its', 'ores', 'and', 'regard', 'it', 'highly', 'in', 'their', 'society', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",the hittites appear to be the first to understand the production of iron from its ores and regard it highly in their society,the hittite appear to be the first to understand the production of iron from its ore and regard it highly in their society,"[{'start': 0, 'end': 12, 'text': 'The Hittites', 'label': 'organization', 'score': 0.9304463267326355}]",[]
en-doc6179-sent8,"Athens , the most powerful city-state , governed itself with an early form of direct democracy founded by Athenian noble Cleisthenes .","['Athens', ',', 'the', 'most', 'powerful', 'city-state', ',', 'governed', 'itself', 'with', 'an', 'early', 'form', 'of', 'direct', 'democracy', 'founded', 'by', 'Athenian', 'noble', 'Cleisthenes', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",athens the most powerful city state governed itself with an early form of direct democracy founded by athenian noble cleisthenes,athen the most powerful city state govern itself with an early form of direct democracy found by athenian noble cleisthene,"[{'start': 0, 'end': 6, 'text': 'Athens', 'label': 'location', 'score': 0.9842892289161682}, {'start': 78, 'end': 94, 'text': 'direct democracy', 'label': 'organization', 'score': 0.44392868876457214}, {'start': 121, 'end': 132, 'text': 'Cleisthenes', 'label': 'person', 'score': 0.984114408493042}]",[]
en-doc6159-sent60,"It was later extended to Topsham , deepened and widened , and was successful until the middle of the 19th century since when its use gradually declined -- the last commercial use was in 1972 .","['It', 'was', 'later', 'extended', 'to', 'Topsham', ',', 'deepened', 'and', 'widened', ',', 'and', 'was', 'successful', 'until', 'the', 'middle', 'of', 'the', '19th', 'century', 'since', 'when', 'its', 'use', 'gradually', 'declined', '--', 'the', 'last', 'commercial', 'use', 'was', 'in', '1972', '.']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",it was later extended to topsham deepened and widened and was successful until the middle of the 19th century since when its use gradually declined the last commercial use was in 1972,it be later extend to topsham deepen and widen and be successful until the middle of the 19th century since when its use gradually decline the last commercial use be in 1972,"[{'start': 25, 'end': 32, 'text': 'Topsham', 'label': 'location', 'score': 0.9631422758102417}]",[]
en-doc6225-sent40,"In addition , some winners critical of the Academy Awards have boycotted the ceremonies and refused to accept their Oscars .","['In', 'addition', ',', 'some', 'winners', 'critical', 'of', 'the', 'Academy', 'Awards', 'have', 'boycotted', 'the', 'ceremonies', 'and', 'refused', 'to', 'accept', 'their', 'Oscars', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",in addition some winners critical of the academy awards have boycotted the ceremonies and refused to accept their oscars,in addition some winner critical of the academy award have boycott the ceremony and refuse to accept their oscar,"[{'start': 14, 'end': 26, 'text': 'some winners', 'label': 'person', 'score': 0.5536268353462219}, {'start': 43, 'end': 57, 'text': 'Academy Awards', 'label': 'organization', 'score': 0.9292693138122559}]",[]
en-doc6349-sent53,"According to Maimonides , the correct view of providence lies with Elihu , who teaches Job that one must examine his/her religion ( Job 33 ) .","['According', 'to', 'Maimonides', ',', 'the', 'correct', 'view', 'of', 'providence', 'lies', 'with', 'Elihu', ',', 'who', 'teaches', 'Job', 'that', 'one', 'must', 'examine', 'his/her', 'religion', '(', 'Job', '33', ')', '.']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",according to maimonides the correct view of providence lies with elihu who teaches job that one must examine his her religion job 33,accord to maimonide the correct view of providence lie with elihu who teach job that one must examine his her religion job 33,"[{'start': 13, 'end': 23, 'text': 'Maimonides', 'label': 'person', 'score': 0.7957214117050171}, {'start': 67, 'end': 72, 'text': 'Elihu', 'label': 'person', 'score': 0.9017096757888794}, {'start': 87, 'end': 90, 'text': 'Job', 'label': 'person', 'score': 0.957312285900116}, {'start': 132, 'end': 135, 'text': 'Job', 'label': 'person', 'score': 0.9819051027297974}]",[]
en-doc6139-sent3,"His father Henry Nottidge Moseley ( 1844 -- 91 ) , who died when Henry Moseley was quite young , was a biologist and also a professor of anatomy and physiology at the University of Oxford , who had been a member of the Challenger Expedition .","['His', 'father', 'Henry', 'Nottidge', 'Moseley', '(', '1844', '--', '91', ')', ',', 'who', 'died', 'when', 'Henry', 'Moseley', 'was', 'quite', 'young', ',', 'was', 'a', 'biologist', 'and', 'also', 'a', 'professor', 'of', 'anatomy', 'and', 'physiology', 'at', 'the', 'University', 'of', 'Oxford', ',', 'who', 'had', 'been', 'a', 'member', 'of', 'the', 'Challenger', 'Expedition', '.']","[0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",his father henry nottidge moseley 1844 91 who died when henry moseley was quite young was a biologist and also a professor of anatomy and physiology at the university of oxford who had been a member of the challenger expedition,his father henry nottidge moseley 1844 91 who die when henry moseley be quite young be a biologist and also a professor of anatomy and physiology at the university of oxford who have be a member of the challenger expedition,"[{'start': 11, 'end': 33, 'text': 'Henry Nottidge Moseley', 'label': 'person', 'score': 0.9022180438041687}, {'start': 65, 'end': 78, 'text': 'Henry Moseley', 'label': 'person', 'score': 0.563421368598938}, {'start': 167, 'end': 187, 'text': 'University of Oxford', 'label': 'organization', 'score': 0.7898309230804443}, {'start': 219, 'end': 240, 'text': 'Challenger Expedition', 'label': 'organization', 'score': 0.6104311943054199}]","[{'text': 'henry nottidge', 'start': 11, 'end': 25, 'label': 'PER'}, {'text': 'henry moseley', 'start': 56, 'end': 69, 'label': 'PER'}, {'text': 'the university of oxford', 'start': 152, 'end': 176, 'label': 'ORG'}]"
en-doc5890-sent29,"While there , Golden Hind became caught on a reef and was almost lost .","['While', 'there', ',', 'Golden', 'Hind', 'became', 'caught', 'on', 'a', 'reef', 'and', 'was', 'almost', 'lost', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",while there golden hind became caught on a reef and was almost lost,while there golden hind became catch on a reef and be almost lose,"[{'start': 14, 'end': 25, 'text': 'Golden Hind', 'label': 'person', 'score': 0.9712324142456055}, {'start': 45, 'end': 49, 'text': 'reef', 'label': 'location', 'score': 0.7902653813362122}]",[]
en-doc6070-sent31,"Although little is known historically about him , his first disciple is said to have been Basilides .","['Although', 'little', 'is', 'known', 'historically', 'about', 'him', ',', 'his', 'first', 'disciple', 'is', 'said', 'to', 'have', 'been', 'Basilides', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",although little is known historically about him his first disciple is said to have been basilides,although little be know historically about he his first disciple be say to have be basilide,"[{'start': 90, 'end': 99, 'text': 'Basilides', 'label': 'person', 'score': 0.9565266966819763}]",[]
en-doc6244-sent20,"The FBI was puzzled regarding Cooper 's plans , and his request of four parachutes .","['The', 'FBI', 'was', 'puzzled', 'regarding', 'Cooper', ""'s"", 'plans', ',', 'and', 'his', 'request', 'of', 'four', 'parachutes', '.']","[0, 4, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",the fbi was puzzled regarding cooper s plans and his request of four parachutes,the fbi be puzzle regard cooper s plan and his request of four parachute,"[{'start': 0, 'end': 7, 'text': 'The FBI', 'label': 'organization', 'score': 0.949797511100769}, {'start': 30, 'end': 36, 'text': 'Cooper', 'label': 'person', 'score': 0.964884877204895}, {'start': 40, 'end': 45, 'text': 'plans', 'label': 'miscellaneous', 'score': 0.44466128945350647}, {'start': 72, 'end': 82, 'text': 'parachutes', 'label': 'miscellaneous', 'score': 0.3848625123500824}]","[{'text': 'fbi', 'start': 4, 'end': 7, 'label': 'ORG'}]"
en-doc6331-sent60,"A retelling of the original Doom using entirely new graphics technology , Doom 3 was hyped to provide as large a leap in realism and interactivity as the original Doom , and helped renew interest in the Doom franchise when it was released .","['A', 'retelling', 'of', 'the', 'original', 'Doom', 'using', 'entirely', 'new', 'graphics', 'technology', ',', 'Doom', '3', 'was', 'hyped', 'to', 'provide', 'as', 'large', 'a', 'leap', 'in', 'realism', 'and', 'interactivity', 'as', 'the', 'original', 'Doom', ',', 'and', 'helped', 'renew', 'interest', 'in', 'the', 'Doom', 'franchise', 'when', 'it', 'was', 'released', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",a retelling of the original doom using entirely new graphics technology doom 3 was hyped to provide as large a leap in realism and interactivity as the original doom and helped renew interest in the doom franchise when it was released,a retelling of the original doom use entirely new graphic technology doom 3 be hype to provide as large a leap in realism and interactivity as the original doom and help renew interest in the doom franchise when it be release,"[{'start': 203, 'end': 207, 'text': 'Doom', 'label': 'organization', 'score': 0.4440445899963379}]",[]
en-doc5995-sent6,Willebrord defiled the spring by baptizing people in it and killing a cow there .,"['Willebrord', 'defiled', 'the', 'spring', 'by', 'baptizing', 'people', 'in', 'it', 'and', 'killing', 'a', 'cow', 'there', '.']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",willebrord defiled the spring by baptizing people in it and killing a cow there,willebrord defile the spring by baptize people in it and kill a cow there,"[{'start': 0, 'end': 10, 'text': 'Willebrord', 'label': 'person', 'score': 0.9833199381828308}, {'start': 23, 'end': 29, 'text': 'spring', 'label': 'location', 'score': 0.8658065795898438}]","[{'text': 'willebrord', 'start': 0, 'end': 10, 'label': 'ORG'}]"
en-doc6244-sent32,"He initially was believed to have landed southeast of the unincorporated area of Ariel , Washington , near Lake Merwin , 30 miles ( 48 km ) north of Portland , Oregon .","['He', 'initially', 'was', 'believed', 'to', 'have', 'landed', 'southeast', 'of', 'the', 'unincorporated', 'area', 'of', 'Ariel', ',', 'Washington', ',', 'near', 'Lake', 'Merwin', ',', '30', 'miles', '(', '48', 'km', ')', 'north', 'of', 'Portland', ',', 'Oregon', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",he initially was believed to have landed southeast of the unincorporated area of ariel washington near lake merwin 30 miles 48 km north of portland oregon,he initially be believe to have land southeast of the unincorporated area of ariel washington near lake merwin 30 mile 48 km north of portland oregon,"[{'start': 81, 'end': 99, 'text': 'Ariel , Washington', 'label': 'location', 'score': 0.8882814049720764}, {'start': 107, 'end': 118, 'text': 'Lake Merwin', 'label': 'location', 'score': 0.9157201051712036}, {'start': 149, 'end': 166, 'text': 'Portland , Oregon', 'label': 'location', 'score': 0.8864734768867493}]","[{'text': 'ariel washington', 'start': 81, 'end': 97, 'label': 'PER'}, {'text': 'oregon', 'start': 148, 'end': 154, 'label': 'LOC'}]"
en-doc5831-sent29,"As the L & MR approached completion in 1829 , its directors arranged for a competition to decide who would build its locomotives , and the Rainhill Trials were run in October 1829 .","['As', 'the', 'L', '&', 'MR', 'approached', 'completion', 'in', '1829', ',', 'its', 'directors', 'arranged', 'for', 'a', 'competition', 'to', 'decide', 'who', 'would', 'build', 'its', 'locomotives', ',', 'and', 'the', 'Rainhill', 'Trials', 'were', 'run', 'in', 'October', '1829', '.']","[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",as the l mr approached completion in 1829 its directors arranged for a competition to decide who would build its locomotives and the rainhill trials were run in october 1829,as the l mr approach completion in 1829 its director arrange for a competition to decide who would build its locomotive and the rainhill trial be run in october 1829,"[{'start': 7, 'end': 13, 'text': 'L & MR', 'label': 'organization', 'score': 0.92411869764328}, {'start': 50, 'end': 59, 'text': 'directors', 'label': 'person', 'score': 0.7997663617134094}, {'start': 139, 'end': 147, 'text': 'Rainhill', 'label': 'location', 'score': 0.3588516414165497}]",[]
en-doc6145-sent68,Petrobras has announced plans to produce enough natural gas by 2011 to replace that now supplied by Bolivia .,"['Petrobras', 'has', 'announced', 'plans', 'to', 'produce', 'enough', 'natural', 'gas', 'by', '2011', 'to', 'replace', 'that', 'now', 'supplied', 'by', 'Bolivia', '.']","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",petrobras has announced plans to produce enough natural gas by 2011 to replace that now supplied by bolivia,petrobras have announce plan to produce enough natural gas by 2011 to replace that now supply by bolivia,"[{'start': 0, 'end': 9, 'text': 'Petrobras', 'label': 'organization', 'score': 0.9882513880729675}, {'start': 100, 'end': 107, 'text': 'Bolivia', 'label': 'location', 'score': 0.9611642360687256}]","[{'text': 'petrobras', 'start': 0, 'end': 9, 'label': 'PER'}]"
en-doc6430-sent103,Andalusian industry is also characterized by a specialization in industrial activities of transforming raw agricultural and mineral materials .,"['Andalusian', 'industry', 'is', 'also', 'characterized', 'by', 'a', 'specialization', 'in', 'industrial', 'activities', 'of', 'transforming', 'raw', 'agricultural', 'and', 'mineral', 'materials', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",andalusian industry is also characterized by a specialization in industrial activities of transforming raw agricultural and mineral materials,andalusian industry be also characterize by a specialization in industrial activity of transform raw agricultural and mineral material,"[{'start': 0, 'end': 19, 'text': 'Andalusian industry', 'label': 'organization', 'score': 0.6018136739730835}]",[]
en-doc6053-sent4,Carl Philipp Gottfried appears on Clausewitz 's tombstone and is thus most likely to be the correct version .,"['Carl', 'Philipp', 'Gottfried', 'appears', 'on', 'Clausewitz', ""'s"", 'tombstone', 'and', 'is', 'thus', 'most', 'likely', 'to', 'be', 'the', 'correct', 'version', '.']","[2, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",carl philipp gottfried appears on clausewitz s tombstone and is thus most likely to be the correct version,carl philipp gottfrie appear on clausewitz s tombstone and be thus most likely to be the correct version,"[{'start': 0, 'end': 22, 'text': 'Carl Philipp Gottfried', 'label': 'person', 'score': 0.9271811246871948}, {'start': 34, 'end': 44, 'text': 'Clausewitz', 'label': 'person', 'score': 0.6704444885253906}, {'start': 48, 'end': 57, 'text': 'tombstone', 'label': 'location', 'score': 0.5033804774284363}]","[{'text': 'carl philipp', 'start': 0, 'end': 12, 'label': 'PER'}, {'text': 'clausewitz s tombstone', 'start': 34, 'end': 56, 'label': 'PER'}]"
en-doc5918-sent39,"In 2005 , the European Union decided to start accession negotiations with candidate countries ; Croatia , Turkey , and Macedonia were accepted as candidates for European Union membership .","['In', '2005', ',', 'the', 'European', 'Union', 'decided', 'to', 'start', 'accession', 'negotiations', 'with', 'candidate', 'countries', ';', 'Croatia', ',', 'Turkey', ',', 'and', 'Macedonia', 'were', 'accepted', 'as', 'candidates', 'for', 'European', 'Union', 'membership', '.']","[0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 4, 4, 0, 0]",in 2005 the european union decided to start accession negotiations with candidate countries croatia turkey and macedonia were accepted as candidates for european union membership,in 2005 the european union decide to start accession negotiation with candidate country croatia turkey and macedonia be accept as candidate for european union membership,"[{'start': 14, 'end': 28, 'text': 'European Union', 'label': 'organization', 'score': 0.9840025305747986}, {'start': 96, 'end': 103, 'text': 'Croatia', 'label': 'location', 'score': 0.983038067817688}, {'start': 106, 'end': 112, 'text': 'Turkey', 'label': 'location', 'score': 0.9732233285903931}, {'start': 119, 'end': 128, 'text': 'Macedonia', 'label': 'location', 'score': 0.964174211025238}, {'start': 161, 'end': 175, 'text': 'European Union', 'label': 'organization', 'score': 0.9483088254928589}]","[{'text': 'the european union', 'start': 8, 'end': 26, 'label': 'ORG'}, {'text': 'macedonia', 'start': 111, 'end': 120, 'label': 'LOC'}, {'text': 'european union', 'start': 153, 'end': 167, 'label': 'ORG'}]"
en-doc5804-sent33,It is believed that more than three million deserters escaped from the Red Army in 1919 and 1920 .,"['It', 'is', 'believed', 'that', 'more', 'than', 'three', 'million', 'deserters', 'escaped', 'from', 'the', 'Red', 'Army', 'in', '1919', 'and', '1920', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0]",it is believed that more than three million deserters escaped from the red army in 1919 and 1920,it be believe that more than three million deserter escape from the red army in 1919 and 1920,"[{'start': 44, 'end': 53, 'text': 'deserters', 'label': 'person', 'score': 0.6271592974662781}, {'start': 71, 'end': 79, 'text': 'Red Army', 'label': 'organization', 'score': 0.9129067659378052}]","[{'text': 'the red army', 'start': 67, 'end': 79, 'label': 'ORG'}]"
en-doc6141-sent19,Several attempts to re-establish a defensive line failed when German units outflanked them .,"['Several', 'attempts', 'to', 're-establish', 'a', 'defensive', 'line', 'failed', 'when', 'German', 'units', 'outflanked', 'them', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",several attempts to re establish a defensive line failed when german units outflanked them,several attempt to re establish a defensive line fail when german unit outflank they,"[{'start': 62, 'end': 74, 'text': 'German units', 'label': 'organization', 'score': 0.8340745568275452}]","[{'text': 'german', 'start': 62, 'end': 68, 'label': 'MISC'}]"
