id,words,ner_tags,text
en-doc5938-sent52,"['They' 'fought' 'on' 'the' 'front' 'line' 'as' 'fighters' 'during' 'the'
 'critical' 'early' 'years' 'of' 'the' 'Pacific' 'War' ',' 'and' 'the'
 'durability' 'and' 'bomb-carrying' 'abilities' '(' '1,000' 'lb/454' 'kg'
 ')' 'of' 'the' 'P-40' 'also' 'made' 'it' 'ideal' 'for' 'the' 'ground'
 'attack' 'role' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]","They fought on the front line as fighters during the critical early years of the Pacific War , and the durability and bomb-carrying abilities ( 1,000 lb/454 kg ) of the P-40 also made it ideal for the ground attack role ."
en-doc6387-sent33,"['FNC' 'has' 'a' 'number' 'of' 'different' 'signature' 'hosts' ','
 'including' 'Bill' ""O'Reilly"" ',' 'Sean' 'Hannity' ',' 'Greta' 'Van'
 'Susteren' ',' 'Mike' 'Huckabee' ',' 'Shepard' 'Smith' ',' '&' 'Neil'
 'Cavuto' 'all' 'of' 'whom' 'host' 'programs' 'which' 'are' 'on' 'the'
 'list' 'of' 'the' 'top' 'ten' 'most' 'watched' 'programs' 'on' 'cable'
 'news' '.']","[4 0 0 0 0 0 0 0 0 0 2 2 0 2 2 0 2 2 2 0 2 2 0 2 2 0 0 2 2 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0]","FNC has a number of different signature hosts , including Bill O'Reilly , Sean Hannity , Greta Van Susteren , Mike Huckabee , Shepard Smith , & Neil Cavuto all of whom host programs which are on the list of the top ten most watched programs on cable news ."
en-doc5848-sent15,"['With' 'time' 'the' 'Armenian' 'language' 'made' 'a' 'transition' 'from'
 'a' 'synthetic' 'language' '(' 'Old' 'Armenian' 'or' 'Grabar' ')' 'to'
 'a' 'typical' 'analytic' 'language' 'with' 'Middle' 'Armenian' 'as' 'a'
 'midpoint' 'in' 'this' 'transition' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],With time the Armenian language made a transition from a synthetic language ( Old Armenian or Grabar ) to a typical analytic language with Middle Armenian as a midpoint in this transition .
en-doc6209-sent52,"['The' 'Burghers' 'of' 'Calais' 'depicts' 'the' 'men' 'as' 'they' 'are'
 'leaving' 'for' 'the' 'king' ""'s"" 'camp' ',' 'carrying' 'keys' 'to' 'the'
 'town' ""'s"" 'gates' 'and' 'citadel' '.']",[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"The Burghers of Calais depicts the men as they are leaving for the king 's camp , carrying keys to the town 's gates and citadel ."
en-doc5894-sent29,"['In' 'contrast' 'to' 'the' 'political' 'and' 'environmental' 'subjects'
 'addressed' 'on' 'the' 'previous' 'album' ',' 'the' 'songs' 'on' 'Some'
 'Great' 'Reward' 'were' 'mostly' 'concerned' 'with' 'more' 'personal'
 'themes' 'such' 'as' 'sexual' 'politics' '(' '""' 'Master' 'and' 'Servant'
 '""' ')' ',' 'adulterous' 'relationships' ',' 'and' 'arbitrary' 'divine'
 'justice' '(' '""' 'Blasphemous' 'Rumours' '""' ')' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","In contrast to the political and environmental subjects addressed on the previous album , the songs on Some Great Reward were mostly concerned with more personal themes such as sexual politics ( "" Master and Servant "" ) , adulterous relationships , and arbitrary divine justice ( "" Blasphemous Rumours "" ) ."
en-doc5806-sent0,"['The' 'Hittites' 'appear' 'to' 'be' 'the' 'first' 'to' 'understand' 'the'
 'production' 'of' 'iron' 'from' 'its' 'ores' 'and' 'regard' 'it' 'highly'
 'in' 'their' 'society' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],The Hittites appear to be the first to understand the production of iron from its ores and regard it highly in their society .
en-doc6179-sent8,"['Athens' ',' 'the' 'most' 'powerful' 'city-state' ',' 'governed' 'itself'
 'with' 'an' 'early' 'form' 'of' 'direct' 'democracy' 'founded' 'by'
 'Athenian' 'noble' 'Cleisthenes' '.']",[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0],"Athens , the most powerful city-state , governed itself with an early form of direct democracy founded by Athenian noble Cleisthenes ."
en-doc6159-sent60,"['It' 'was' 'later' 'extended' 'to' 'Topsham' ',' 'deepened' 'and'
 'widened' ',' 'and' 'was' 'successful' 'until' 'the' 'middle' 'of' 'the'
 '19th' 'century' 'since' 'when' 'its' 'use' 'gradually' 'declined' '--'
 'the' 'last' 'commercial' 'use' 'was' 'in' '1972' '.']",[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"It was later extended to Topsham , deepened and widened , and was successful until the middle of the 19th century since when its use gradually declined -- the last commercial use was in 1972 ."
en-doc6225-sent40,"['In' 'addition' ',' 'some' 'winners' 'critical' 'of' 'the' 'Academy'
 'Awards' 'have' 'boycotted' 'the' 'ceremonies' 'and' 'refused' 'to'
 'accept' 'their' 'Oscars' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"In addition , some winners critical of the Academy Awards have boycotted the ceremonies and refused to accept their Oscars ."
en-doc6349-sent53,"['According' 'to' 'Maimonides' ',' 'the' 'correct' 'view' 'of'
 'providence' 'lies' 'with' 'Elihu' ',' 'who' 'teaches' 'Job' 'that' 'one'
 'must' 'examine' 'his/her' 'religion' '(' 'Job' '33' ')' '.']",[0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"According to Maimonides , the correct view of providence lies with Elihu , who teaches Job that one must examine his/her religion ( Job 33 ) ."
en-doc6139-sent3,"['His' 'father' 'Henry' 'Nottidge' 'Moseley' '(' '1844' '--' '91' ')' ','
 'who' 'died' 'when' 'Henry' 'Moseley' 'was' 'quite' 'young' ',' 'was' 'a'
 'biologist' 'and' 'also' 'a' 'professor' 'of' 'anatomy' 'and'
 'physiology' 'at' 'the' 'University' 'of' 'Oxford' ',' 'who' 'had' 'been'
 'a' 'member' 'of' 'the' 'Challenger' 'Expedition' '.']","[0 0 2 2 2 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 4 0
 0 0 0 0 0 0 0 0 0 0]","His father Henry Nottidge Moseley ( 1844 -- 91 ) , who died when Henry Moseley was quite young , was a biologist and also a professor of anatomy and physiology at the University of Oxford , who had been a member of the Challenger Expedition ."
en-doc5890-sent29,"['While' 'there' ',' 'Golden' 'Hind' 'became' 'caught' 'on' 'a' 'reef'
 'and' 'was' 'almost' 'lost' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"While there , Golden Hind became caught on a reef and was almost lost ."
en-doc6070-sent31,"['Although' 'little' 'is' 'known' 'historically' 'about' 'him' ',' 'his'
 'first' 'disciple' 'is' 'said' 'to' 'have' 'been' 'Basilides' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0],"Although little is known historically about him , his first disciple is said to have been Basilides ."
en-doc6244-sent20,"['The' 'FBI' 'was' 'puzzled' 'regarding' 'Cooper' ""'s"" 'plans' ',' 'and'
 'his' 'request' 'of' 'four' 'parachutes' '.']",[0 4 0 0 0 2 0 0 0 0 0 0 0 0 0 0],"The FBI was puzzled regarding Cooper 's plans , and his request of four parachutes ."
en-doc6331-sent60,"['A' 'retelling' 'of' 'the' 'original' 'Doom' 'using' 'entirely' 'new'
 'graphics' 'technology' ',' 'Doom' '3' 'was' 'hyped' 'to' 'provide' 'as'
 'large' 'a' 'leap' 'in' 'realism' 'and' 'interactivity' 'as' 'the'
 'original' 'Doom' ',' 'and' 'helped' 'renew' 'interest' 'in' 'the' 'Doom'
 'franchise' 'when' 'it' 'was' 'released' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]","A retelling of the original Doom using entirely new graphics technology , Doom 3 was hyped to provide as large a leap in realism and interactivity as the original Doom , and helped renew interest in the Doom franchise when it was released ."
en-doc5995-sent6,"['Willebrord' 'defiled' 'the' 'spring' 'by' 'baptizing' 'people' 'in' 'it'
 'and' 'killing' 'a' 'cow' 'there' '.']",[2 0 0 0 0 0 0 0 0 0 0 0 0 0 0],Willebrord defiled the spring by baptizing people in it and killing a cow there .
en-doc6244-sent32,"['He' 'initially' 'was' 'believed' 'to' 'have' 'landed' 'southeast' 'of'
 'the' 'unincorporated' 'area' 'of' 'Ariel' ',' 'Washington' ',' 'near'
 'Lake' 'Merwin' ',' '30' 'miles' '(' '48' 'km' ')' 'north' 'of'
 'Portland' ',' 'Oregon' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0],"He initially was believed to have landed southeast of the unincorporated area of Ariel , Washington , near Lake Merwin , 30 miles ( 48 km ) north of Portland , Oregon ."
en-doc5831-sent29,"['As' 'the' 'L' '&' 'MR' 'approached' 'completion' 'in' '1829' ',' 'its'
 'directors' 'arranged' 'for' 'a' 'competition' 'to' 'decide' 'who'
 'would' 'build' 'its' 'locomotives' ',' 'and' 'the' 'Rainhill' 'Trials'
 'were' 'run' 'in' 'October' '1829' '.']",[0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"As the L & MR approached completion in 1829 , its directors arranged for a competition to decide who would build its locomotives , and the Rainhill Trials were run in October 1829 ."
en-doc6145-sent68,"['Petrobras' 'has' 'announced' 'plans' 'to' 'produce' 'enough' 'natural'
 'gas' 'by' '2011' 'to' 'replace' 'that' 'now' 'supplied' 'by' 'Bolivia'
 '.']",[4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],Petrobras has announced plans to produce enough natural gas by 2011 to replace that now supplied by Bolivia .
en-doc6430-sent103,"['Andalusian' 'industry' 'is' 'also' 'characterized' 'by' 'a'
 'specialization' 'in' 'industrial' 'activities' 'of' 'transforming' 'raw'
 'agricultural' 'and' 'mineral' 'materials' '.']",[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],Andalusian industry is also characterized by a specialization in industrial activities of transforming raw agricultural and mineral materials .
en-doc6053-sent4,"['Carl' 'Philipp' 'Gottfried' 'appears' 'on' 'Clausewitz' ""'s"" 'tombstone'
 'and' 'is' 'thus' 'most' 'likely' 'to' 'be' 'the' 'correct' 'version' '.']",[2 2 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0],Carl Philipp Gottfried appears on Clausewitz 's tombstone and is thus most likely to be the correct version .
en-doc5918-sent39,"['In' '2005' ',' 'the' 'European' 'Union' 'decided' 'to' 'start'
 'accession' 'negotiations' 'with' 'candidate' 'countries' ';' 'Croatia'
 ',' 'Turkey' ',' 'and' 'Macedonia' 'were' 'accepted' 'as' 'candidates'
 'for' 'European' 'Union' 'membership' '.']",[0 0 0 0 4 4 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 4 4 0 0],"In 2005 , the European Union decided to start accession negotiations with candidate countries ; Croatia , Turkey , and Macedonia were accepted as candidates for European Union membership ."
en-doc5804-sent33,"['It' 'is' 'believed' 'that' 'more' 'than' 'three' 'million' 'deserters'
 'escaped' 'from' 'the' 'Red' 'Army' 'in' '1919' 'and' '1920' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 4 4 0 0 0 0 0],It is believed that more than three million deserters escaped from the Red Army in 1919 and 1920 .
en-doc6141-sent19,"['Several' 'attempts' 'to' 're-establish' 'a' 'defensive' 'line' 'failed'
 'when' 'German' 'units' 'outflanked' 'them' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0],Several attempts to re-establish a defensive line failed when German units outflanked them .
en-doc6121-sent7,"['To' 'be' 'attentive' 'is' 'to' 'do' 'things' 'with' 'focus' 'and' 'care'
 ',' 'not' 'for' 'something' 'to' 'be' 'happening' 'in' 'the' 'ghostly'
 'theater' 'that' 'Ryle' 'lampooned' 'as' 'a' 'dualist' 'dogma' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0],"To be attentive is to do things with focus and care , not for something to be happening in the ghostly theater that Ryle lampooned as a dualist dogma ."
en-doc6085-sent56,"['In' 'her' 'view' ',' 'what' 'Revelation' 'has' 'to' 'teach' 'is'
 'patience' '.']",[0 0 0 0 0 0 0 0 0 0 0 0],"In her view , what Revelation has to teach is patience ."
en-doc5917-sent25,"['During' 'this' 'period' 'the' 'championship' 'rules' 'were' 'frequently'
 'changed' 'by' 'the' 'FIA' 'with' 'the' 'intention' 'of' 'improving'
 'the' 'on-track' 'action' 'and' 'cutting' 'costs' '.']",[0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0],During this period the championship rules were frequently changed by the FIA with the intention of improving the on-track action and cutting costs .
en-doc6178-sent82,"['Six' 'decades' 'later' ',' 'Time' 'named' 'it' 'the' 'best' 'comedy'
 'routine' 'of' 'the' 'twentieth' 'century' '.']",[0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0],"Six decades later , Time named it the best comedy routine of the twentieth century ."
en-doc6128-sent129,"['A' 'superficial' 'examination' 'of' 'the' 'Books' 'of' 'Kings' 'makes'
 'clear' 'the' 'fact' 'that' 'they' 'are' 'a' 'compilation' 'and' 'not'
 'an' 'original' 'composition' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],A superficial examination of the Books of Kings makes clear the fact that they are a compilation and not an original composition .
en-doc6422-sent1,"['A' 'small' 'number' 'of' 'FAA' 'personnel' 'are' 'stationed' 'in' 'the'
 'Democratic' 'Republic' 'of' 'the' 'Congo' 'and' 'the' 'Republic' 'of'
 'the' 'Congo' '.']",[0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 1 1 1 1 0],A small number of FAA personnel are stationed in the Democratic Republic of the Congo and the Republic of the Congo .
en-doc6368-sent17,"['Luke' 'apparently' 'draws' 'formal' 'set' 'pieces' 'from' 'the' '""'
 'teachings' '""' 'of' 'Christianity' 'and' 'incorporates' 'into' 'the'
 'gospel' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"Luke apparently draws formal set pieces from the "" teachings "" of Christianity and incorporates into the gospel ."
en-doc6004-sent139,"['The' 'Frankfurt' 'Institute' 'for' 'Advanced' 'Studies' ',' 'sponsored'
 'by' 'several' 'institutional' 'and' 'private' 'sources' ',' 'is'
 'involved' 'in' 'theoretical' 'research' 'in' 'physics' ',' 'chemistry'
 ',' 'neuroscience' ',' 'and' 'computer' 'science' '.']",[0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"The Frankfurt Institute for Advanced Studies , sponsored by several institutional and private sources , is involved in theoretical research in physics , chemistry , neuroscience , and computer science ."
en-doc6249-sent6,"['Partially' 'as' 'a' 'response' 'to' 'this' 'movement' ',' 'the'
 'Department' 'of' 'Defense' 'issued' 'a' '1982' 'policy' 'stating' 'that'
 'homosexuality' 'was' 'clearly' 'incompatible' 'with' 'military'
 'service' '.']",[0 0 0 0 0 0 0 0 0 4 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"Partially as a response to this movement , the Department of Defense issued a 1982 policy stating that homosexuality was clearly incompatible with military service ."
en-doc5997-sent3,"['In' '1895' ',' 'French' 'Guinea' 'was' 'made' 'a' 'dependent' 'colony'
 ',' 'and' 'its' 'Governor' 'then' 'became' 'a' 'Lieutenant' 'Governor'
 'to' 'a' 'Governor-General' 'in' 'Dakar' '.']",[0 0 0 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],"In 1895 , French Guinea was made a dependent colony , and its Governor then became a Lieutenant Governor to a Governor-General in Dakar ."
en-doc6254-sent14,"['Since' 'then' 'it' 'was' 'a' 'suffragan' 'of' 'the' 'archbishopric' 'of'
 'Seville' '.']",[0 0 0 0 0 0 0 0 1 1 1 0],Since then it was a suffragan of the archbishopric of Seville .
en-doc5979-sent377,"['The' 'game' 'that' 'day' 'was' 'bad' 'for' 'Houston' 'with' 'Roy'
 'Oswalt' 'giving' 'up' 'four' 'runs' 'in' 'six' 'innings' 'of' 'work' '.']",[0 0 0 0 0 0 0 4 0 2 2 0 0 0 0 0 0 0 0 0 0],The game that day was bad for Houston with Roy Oswalt giving up four runs in six innings of work .
en-doc5885-sent28,"['It' 'is' 'said' 'that' 'Alameda' 'has' 'more' 'pre-1906' 'earthquake'
 'era' 'homes' 'than' 'any' 'other' 'city' 'in' 'the' 'Bay' 'Area' '.']",[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0],It is said that Alameda has more pre-1906 earthquake era homes than any other city in the Bay Area .
en-doc6387-sent15,"['Fox' 'News' 'claimed' 'that' 'this' 'violated' 'an' 'agreement' 'to'
 'carry' 'Fox' 'News' '.']",[4 4 0 0 0 0 0 0 0 0 4 4 0],Fox News claimed that this violated an agreement to carry Fox News .
en-doc6010-sent6,"['The' 'gem-gravel' 'placer' 'deposits' 'of' 'Sri' 'Lanka' 'contain'
 'aquamarine' '.']",[0 0 0 0 0 1 1 0 0 0],The gem-gravel placer deposits of Sri Lanka contain aquamarine .
en-doc5860-sent54,"['Cheers' 'began' 'with' 'a' 'limited' 'five-character' 'ensemble'
 'consisting' 'of' 'Ted' 'Danson' ',' 'Shelley' 'Long' ',' 'Rhea'
 'Perlman' ',' 'Nicholas' 'Colasanto' 'and' 'George' 'Wendt' '.']",[0 0 0 0 0 0 0 0 0 2 2 0 2 2 0 2 2 0 2 2 0 2 2 0],"Cheers began with a limited five-character ensemble consisting of Ted Danson , Shelley Long , Rhea Perlman , Nicholas Colasanto and George Wendt ."
en-doc6299-sent14,"['Prime' 'Minister' 'Jim' 'Marurai' 'described' 'the' 'take-over' 'move'
 'as' '""' 'ill-founded' 'and' 'nonsensical' '""' '.']",[0 0 2 2 0 0 0 0 0 0 0 0 0 0 0],"Prime Minister Jim Marurai described the take-over move as "" ill-founded and nonsensical "" ."
en-doc6312-sent7,"['Hemingway' ""'s"" 'mother' 'frequently' 'performed' 'in' 'concerts'
 'around' 'the' 'village' '.']",[2 0 0 0 0 0 0 0 0 0 0],Hemingway 's mother frequently performed in concerts around the village .
en-doc6317-sent23,"['Although' 'no' 'longer' 'a' 'serving' 'officer' ',' 'she' 'always'
 'wore' 'her' 'Navy' 'full' 'dress' 'uniform' 'to' 'these' 'lectures' '.']",[0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0],"Although no longer a serving officer , she always wore her Navy full dress uniform to these lectures ."
en-doc5896-sent6,"['According' 'to' 'many' 'independent' 'observers' ',' 'the' '1984'
 'elections' 'were' 'perhaps' 'the' 'freest' 'and' 'fairest' 'in'
 'Nicaraguan' 'history' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0],"According to many independent observers , the 1984 elections were perhaps the freest and fairest in Nicaraguan history ."
en-doc6015-sent21,"['Pursuant' 'to' 'a' '1991' 'interim' 'basic' 'law' ',' 'Albanians'
 'ratified' 'a' 'constitution' 'in' '1998' ',' 'establishing' 'a'
 'democratic' 'system' 'of' 'government' 'based' 'upon' 'the' 'rule' 'of'
 'law' 'and' 'guaranteeing' 'the' 'protection' 'of' 'fundamental' 'human'
 'rights' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"Pursuant to a 1991 interim basic law , Albanians ratified a constitution in 1998 , establishing a democratic system of government based upon the rule of law and guaranteeing the protection of fundamental human rights ."
en-doc6189-sent8,"['They' 'immigrated' 'to' 'the' 'British' 'Mandate' 'Palestine' 'from'
 'Russia' ',' 'fleeing' 'the' 'Red' 'Army' 'during' 'the' 'Bolshevik'
 'Revolution' '.']",[0 0 0 0 0 0 0 0 1 0 0 0 4 4 0 0 0 0 0],"They immigrated to the British Mandate Palestine from Russia , fleeing the Red Army during the Bolshevik Revolution ."
en-doc5918-sent6,"['The' 'father' 'of' 'the' 'term' '""' 'The' 'Balkans' '""' 'August' 'Zeune'
 'defined' 'it' 'in' '1808' 'to' 'describe' 'areas' 'that' 'remained'
 'under' 'Turkish' 'rule' 'after' '1699' '.']",[0 0 0 0 0 0 0 1 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"The father of the term "" The Balkans "" August Zeune defined it in 1808 to describe areas that remained under Turkish rule after 1699 ."
en-doc6351-sent14,"['In' 'the' 'same' 'year' 'he' 'finished' 'his' 'first' 'books' ',' 'The'
 'Stranger' 'and' 'The' 'Myth' 'of' 'Sisyphus' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"In the same year he finished his first books , The Stranger and The Myth of Sisyphus ."
en-doc5999-sent20,"['Though' 'Tono-Bungay' 'was' 'not' 'a' 'science-fiction' 'novel' ','
 'radioactive' 'decay' 'plays' 'a' 'small' 'but' 'consequential' 'role'
 'in' 'it' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"Though Tono-Bungay was not a science-fiction novel , radioactive decay plays a small but consequential role in it ."
en-doc6063-sent1,"['The' 'type' 'section' 'is' 'in' 'the' 'Ediacara' 'Hills' 'in' 'the'
 'Flinders' 'Ranges' 'of' 'South' 'Australia' '.']",[0 0 0 0 0 0 1 1 0 0 1 1 0 1 1 0],The type section is in the Ediacara Hills in the Flinders Ranges of South Australia .
en-doc6320-sent27,"['In' 'this' 'time' 'a' 'part' 'of' 'Frisia' ',' 'West' 'Friesland' ','
 'was' 'conquered' '.']",[0 0 0 0 0 0 1 0 1 1 0 0 0 0],"In this time a part of Frisia , West Friesland , was conquered ."
en-doc6039-sent4,"['Operations' 'are' 'privatized' 'and' 'currently' 'the' 'only' 'operator'
 'is' 'VR' '.']",[0 0 0 0 0 0 0 0 0 4 0],Operations are privatized and currently the only operator is VR .
en-doc5948-sent46,"['One' 'year' 'later' ',' 'on' 'October' '13' ',' '1974' ',' 'Ed'
 'Sullivan' 'died' 'of' 'esophageal' 'cancer' 'at' 'age' '73' 'at' 'New'
 'York' ""'s"" 'Lenox' 'Hill' 'Hospital' ',' 'coincidentally' 'on' 'a'
 'Sunday' 'night' '.']",[0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 1 1 0 4 4 4 0 0 0 0 0 0 0],"One year later , on October 13 , 1974 , Ed Sullivan died of esophageal cancer at age 73 at New York 's Lenox Hill Hospital , coincidentally on a Sunday night ."
en-doc6267-sent1,"['It' 'lies' 'on' 'Abadan' 'Island' '(' '68' 'km/42' 'mi' 'long' ',' '3'
 '--' '19' 'km' 'or' '2' '--' '12' 'miles' 'wide' ',' 'the' 'island' 'is'
 'bounded' 'in' 'the' 'west' 'by' 'the' 'Arvand' '/' 'Shatt' 'al-Arab'
 'waterway' 'and' 'to' 'the' 'east' 'by' 'the' 'Bahmanshir' 'outlet' 'of'
 'the' 'Karun' 'River' ')' ',' '53' 'kilometres' '(' '33' 'mi' ')' 'from'
 'the' 'Persian' 'Gulf' ',' 'near' 'the' 'Iraqi-Iran' 'border' '.']","[0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0]","It lies on Abadan Island ( 68 km/42 mi long , 3 -- 19 km or 2 -- 12 miles wide , the island is bounded in the west by the Arvand / Shatt al-Arab waterway and to the east by the Bahmanshir outlet of the Karun River ) , 53 kilometres ( 33 mi ) from the Persian Gulf , near the Iraqi-Iran border ."
en-doc5807-sent21,"['In' 'the' 'United' 'States' ',' 'standard' 'line' 'insurance'
 'companies' 'are' '""' 'mainstream' '""' 'insurers' '.']",[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0],"In the United States , standard line insurance companies are "" mainstream "" insurers ."
en-doc6115-sent28,"['None' 'of' 'these' 'splendours' 'have' 'any' 'place' 'in' 'the' 'work'
 'which' 'Michelangelo' 'created' '.']",[0 0 0 0 0 0 0 0 0 0 0 2 0 0],None of these splendours have any place in the work which Michelangelo created .
en-doc6004-sent49,"['It' 'is' 'located' 'in' 'the' 'city' 'centre' 'at' 'the' 'entrance' 'to'
 'the' 'Zeil' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 1 0],It is located in the city centre at the entrance to the Zeil .
en-doc5872-sent41,"['He' 'wrote' 'during' 'the' 'post-Civil' 'War' 'period' 'when' 'there'
 'was' 'an' 'intense' 'white' 'reaction' 'against' 'blacks' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],He wrote during the post-Civil War period when there was an intense white reaction against blacks .
en-doc6053-sent14,"['His' 'historiographical' 'approach' 'is' 'evident' 'in' 'his' 'first'
 'extended' 'study' ',' 'written' 'when' 'he' 'was' 'twenty-five' ',' 'of'
 'the' 'Thirty' 'Years' 'War' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"His historiographical approach is evident in his first extended study , written when he was twenty-five , of the Thirty Years War ."
en-doc5918-sent7,"['The' 'region' 'takes' 'its' 'name' 'from' 'the' 'Stara' 'Planina'
 'mountain' 'range' 'in' 'Bulgaria' ',' 'commonly' 'known' 'as' 'the'
 'Balkan' 'Mountains' '(' 'from' 'the' 'Turkish' 'balkan' 'meaning' '""'
 'a' 'chain' 'of' 'wooded' 'mountains' '""' ')' '.']",[0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"The region takes its name from the Stara Planina mountain range in Bulgaria , commonly known as the Balkan Mountains ( from the Turkish balkan meaning "" a chain of wooded mountains "" ) ."
en-doc5903-sent3,"['Plato' 'seems' 'to' 'have' 'been' 'the' 'first' 'to' 'use' 'the' 'term'
 '""' 'element' '(' 'στοιχεῖον' ',' 'stoicheion' ')' '""' 'in' 'reference'
 'to' 'air' ',' 'fire' ',' 'earth' ',' 'and' 'water' '.']",[2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"Plato seems to have been the first to use the term "" element ( στοιχεῖον , stoicheion ) "" in reference to air , fire , earth , and water ."
en-doc5999-sent46,"['H.' 'G.' 'Wells' 'has' 'been' 'portrayed' 'in' 'a' 'number' 'of'
 'novels' ',' 'films' ',' 'and' 'games' ',' 'including' ':']",[2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"H. G. Wells has been portrayed in a number of novels , films , and games , including :"
en-doc6128-sent50,"['Elijah' 'prophesies' 'that' 'Ahab' ""'s"" 'dynasty' 'will' 'be' 'eaten'
 'by' 'dogs' 'and' 'by' 'the' 'birds' '.']",[2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0],Elijah prophesies that Ahab 's dynasty will be eaten by dogs and by the birds .
