id,words,ner_tags,text,cleaned_text,lemmatized_text
en-doc5937-sent6,"['The' 'freshly' 'unified' 'Magyars' 'led' 'by' 'Árpád' 'settled' 'in'
 'the' 'Carpathian' 'Basin' 'starting' 'in' '895' '.']",[0 0 0 0 0 0 2 0 0 0 1 1 0 0 0 0],The freshly unified Magyars led by Árpád settled in the Carpathian Basin starting in 895 .,the freshly unified magyars led by rp d settled in the carpathian basin starting in 895,the freshly unify magyar lead by rp d settle in the carpathian basin start in 895
en-doc6000-sent26,"['Buchheim' ',' 'after' 'several' 'attempts' 'for' 'an' 'American'
 'adaptation' 'had' 'failed' ',' 'had' 'provided' 'a' 'script' 'detailing'
 'his' 'own' 'narrative' ',' 'cinematographical' 'and' 'photographical'
 'ideas' 'as' 'soon' 'as' 'Petersen' 'was' 'chosen' 'as' 'new' 'director'
 '.']",[2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0],"Buchheim , after several attempts for an American adaptation had failed , had provided a script detailing his own narrative , cinematographical and photographical ideas as soon as Petersen was chosen as new director .",buchheim after several attempts for an american adaptation had failed had provided a script detailing his own narrative cinematographical and photographical ideas as soon as petersen was chosen as new director,buchheim after several attempt for an american adaptation have fail have provide a script detail his own narrative cinematographical and photographical idea as soon as petersen be choose as new director
en-doc6316-sent48,"['During' 'this' 'ceremony' ',' 'President' 'Abraham' 'Lincoln' 'honored'
 'the' 'fallen' 'and' 'redefined' 'the' 'purpose' 'of' 'the' 'war' 'in'
 'his' 'historic' 'Gettysburg' 'Address' '.']",[0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0],"During this ceremony , President Abraham Lincoln honored the fallen and redefined the purpose of the war in his historic Gettysburg Address .",during this ceremony president abraham lincoln honored the fallen and redefined the purpose of the war in his historic gettysburg address,during this ceremony president abraham lincoln honor the fall and redefine the purpose of the war in his historic gettysburg address
en-doc6035-sent0,"['The' 'dish' 'is' 'a' 'traditional' 'staple' 'throughout' 'the' 'Maghreb'
 ',' 'especially' 'among' 'the' 'Berbers' 'where' 'it' 'is' 'thought' 'to'
 'have' 'originated' '.']",[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],"The dish is a traditional staple throughout the Maghreb , especially among the Berbers where it is thought to have originated .",the dish is a traditional staple throughout the maghreb especially among the berbers where it is thought to have originated,the dish be a traditional staple throughout the maghreb especially among the berber where it be think to have originate
en-doc6375-sent29,"['Several' 'bishops' 'were' 'appointed' 'for' 'Sweden' 'in' '1060s' ','
 'one' 'also' 'for' 'Birka' '.']",[0 0 0 0 0 1 0 0 0 0 0 0 1 0],"Several bishops were appointed for Sweden in 1060s , one also for Birka .",several bishops were appointed for sweden in 1060s one also for birka,several bishop be appoint for sweden in 1060s one also for birka
en-doc6056-sent51,"['The' 'palace' ',' 'like' 'Windsor' 'Castle' ',' 'is' 'owned' 'by' 'the'
 'British' 'state' '.']",[0 0 0 0 1 1 0 0 0 0 0 1 1 0],"The palace , like Windsor Castle , is owned by the British state .",the palace like windsor castle is owned by the british state,the palace like windsor castle be own by the british state
en-doc6265-sent5,"['These' 'terms' 'do' ',' 'however' ',' 'appear' 'in' 'the' ""Bahá'í""
 'writings' ',' 'where' 'they' 'are' 'used' 'as' 'metaphors' 'for' 'the'
 'base' 'nature' 'of' 'man' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"These terms do , however , appear in the Bahá'í writings , where they are used as metaphors for the base nature of man .",these terms do however appear in the bah writings where they are used as metaphors for the base nature of man,these term do however appear in the bah writing where they be use as metaphor for the base nature of man
en-doc6313-sent67,"['Bogart' 'for' 'his' 'part' 'needled' 'her' 'mercilessly' 'and' 'seemed'
 'to' 'enjoy' 'confrontation' '.']",[2 0 0 0 0 0 0 0 0 0 0 0 0],Bogart for his part needled her mercilessly and seemed to enjoy confrontation .,bogart for his part needled her mercilessly and seemed to enjoy confrontation,bogart for his part needle she mercilessly and seem to enjoy confrontation
en-doc5937-sent121,"['As' 'Hungary' ""'s"" 'new' 'leader' ',' 'Imre' 'Nagy' 'removed' 'state'
 'control' 'of' 'the' 'mass' 'media' 'and' 'encouraged' 'public'
 'discussion' 'on' 'political' 'and' 'economic' 'reform' '.']",[0 1 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"As Hungary 's new leader , Imre Nagy removed state control of the mass media and encouraged public discussion on political and economic reform .",as hungary s new leader imre nagy removed state control of the mass media and encouraged public discussion on political and economic reform,as hungary s new leader imre nagy remove state control of the mass medium and encourage public discussion on political and economic reform
en-doc5994-sent22,['The' 'song' 'is' 'interrupted' 'when' 'Godzilla' 'appears' '.'],[0 0 0 0 0 0 0 0],The song is interrupted when Godzilla appears .,the song is interrupted when godzilla appears,the song be interrupt when godzilla appear
en-doc6139-sent20,"['Moseley' ""'s"" 'discovery' 'showed' 'that' 'atomic' 'numbers' 'were'
 'not' 'arbitrarily' 'assigned' ',' 'but' 'rather' ',' 'they' 'have' 'a'
 'strong' 'physical' 'basis' '.']",[2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"Moseley 's discovery showed that atomic numbers were not arbitrarily assigned , but rather , they have a strong physical basis .",moseley s discovery showed that atomic numbers were not arbitrarily assigned but rather they have a strong physical basis,moseley s discovery show that atomic number be not arbitrarily assign but rather they have a strong physical basis
en-doc5937-sent233,"['The' 'most' 'important' 'poets' 'of' 'the' 'period' 'was' 'Bálint'
 'Balassi' '(' '1554' '--' '1594' ')' 'and' 'Miklós' 'Zrínyi' '(' '1620'
 '--' '1664' ')' '.']",[0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 2 2 0 0 0 0 0 0],The most important poets of the period was Bálint Balassi ( 1554 -- 1594 ) and Miklós Zrínyi ( 1620 -- 1664 ) .,the most important poets of the period was b lint balassi 1554 1594 and mikl s zr nyi 1620 1664,the most important poet of the period be b lint balassi 1554 1594 and mikl s zr nyi 1620 1664
en-doc5944-sent5,"['Harris' 'adds' 'that' 'we' 'do' 'not' 'demand' 'absolute' 'certainty'
 'from' 'predictions' 'in' 'physics' 'so' 'we' 'should' 'not' 'demand'
 'that' 'of' 'a' 'science' 'studying' 'morality' '.']",[2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],Harris adds that we do not demand absolute certainty from predictions in physics so we should not demand that of a science studying morality .,harris adds that we do not demand absolute certainty from predictions in physics so we should not demand that of a science studying morality,harris add that we do not demand absolute certainty from prediction in physics so we should not demand that of a science study morality
en-doc5936-sent79,"['Solzhenitsyn' 'said' 'that' 'for' 'every' 'country' ',' 'great' 'power'
 'status' 'deforms' 'and' 'harms' 'the' 'national' 'character' 'and'
 'that' 'he' 'has' 'never' 'wished' 'great' 'power' 'status' 'for'
 'Russia' '.']",[2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],"Solzhenitsyn said that for every country , great power status deforms and harms the national character and that he has never wished great power status for Russia .",solzhenitsyn said that for every country great power status deforms and harms the national character and that he has never wished great power status for russia,solzhenitsyn say that for every country great power status deform and harm the national character and that he have never wish great power status for russia
en-doc6361-sent4,"['The' 'study' 'of' 'logic' 'led' 'directly' 'to' 'the' 'invention' 'of'
 'the' 'programmable' 'digital' 'electronic' 'computer' ',' 'based' 'on'
 'the' 'work' 'of' 'mathematician' 'Alan' 'Turing' 'and' 'others' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0],"The study of logic led directly to the invention of the programmable digital electronic computer , based on the work of mathematician Alan Turing and others .",the study of logic led directly to the invention of the programmable digital electronic computer based on the work of mathematician alan turing and others,the study of logic lead directly to the invention of the programmable digital electronic computer base on the work of mathematician alan ture and other
en-doc6145-sent56,"['Morales' 'edged' 'out' 'populist' 'candidate' 'Manfred' 'Reyes' 'Villa'
 'of' 'the' 'New' 'Republican' 'Force' '(' 'NFR' ')' 'by' 'just' '700'
 'votes' 'nationwide' ',' 'earning' 'a' 'spot' 'in' 'the' 'congressional'
 'run-off' 'against' 'Sánchez' 'de' 'Lozada' 'on' 'August' '4' ',' '2002'
 '.']","[2 0 0 0 0 2 2 2 0 0 4 4 4 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 0 0 0 0
 0 0]","Morales edged out populist candidate Manfred Reyes Villa of the New Republican Force ( NFR ) by just 700 votes nationwide , earning a spot in the congressional run-off against Sánchez de Lozada on August 4 , 2002 .",morales edged out populist candidate manfred reyes villa of the new republican force nfr by just 700 votes nationwide earning a spot in the congressional run off against s nchez de lozada on august 4 2002,morale edge out populist candidate manfre reyes villa of the new republican force nfr by just 700 vote nationwide earn a spot in the congressional run off against s nchez de lozada on august 4 2002
en-doc6155-sent5,"['His' 'fellow' 'members' 'included' 'Cleese' ',' 'Tim' 'Brooke-Taylor'
 ',' 'Bill' 'Oddie' ',' 'Tony' 'Hendra' ',' 'David' 'Hatch' ',' 'Jonathan'
 'Lynn' ',' 'Humphrey' 'Barclay' ',' 'and' 'Jo' 'Kendall' '.']",[0 0 0 0 2 0 2 2 0 2 2 0 2 2 0 2 2 0 2 2 0 2 2 0 0 2 2 0],"His fellow members included Cleese , Tim Brooke-Taylor , Bill Oddie , Tony Hendra , David Hatch , Jonathan Lynn , Humphrey Barclay , and Jo Kendall .",his fellow members included cleese tim brooke taylor bill oddie tony hendra david hatch jonathan lynn humphrey barclay and jo kendall,his fellow member include cleese tim brooke taylor bill oddie tony hendra david hatch jonathan lynn humphrey barclay and jo kendall
en-doc5870-sent10,"['The' 'residential' 'community' 'The' 'World' 'visited' 'Astoria' 'in'
 'June' '2009' '.']",[0 0 0 0 0 0 1 0 0 0 0],The residential community The World visited Astoria in June 2009 .,the residential community the world visited astoria in june 2009,the residential community the world visit astoria in june 2009
en-doc6443-sent4,"['Former' 'President' 'Richard' 'Nixon' 'was' 'disbarred' 'from' 'New'
 'York' 'in' '1976' 'for' 'obstruction' 'of' 'justice' 'related' 'to'
 'the' 'Watergate' 'scandal' '.']",[0 0 2 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 4 4 0],Former President Richard Nixon was disbarred from New York in 1976 for obstruction of justice related to the Watergate scandal .,former president richard nixon was disbarred from new york in 1976 for obstruction of justice related to the watergate scandal,former president richard nixon be disbar from new york in 1976 for obstruction of justice relate to the watergate scandal
en-doc6013-sent55,"['When' 'the' 'expedition' 'returned' 'to' 'Ticonderoga' 'two' 'days'
 'later' ',' 'some' 'of' 'the' 'men' 'were' 'greatly' 'disappointed'
 'that' 'they' 'had' 'nothing' 'to' 'show' 'for' 'the' 'effort' 'and'
 'risks' 'they' 'took' '.']",[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"When the expedition returned to Ticonderoga two days later , some of the men were greatly disappointed that they had nothing to show for the effort and risks they took .",when the expedition returned to ticonderoga two days later some of the men were greatly disappointed that they had nothing to show for the effort and risks they took,when the expedition return to ticonderoga two day later some of the man be greatly disappoint that they have nothing to show for the effort and risk they take
en-doc6308-sent26,"['In' '1958' ',' 'the' 'laser' 'was' 'first' 'described' ',' 'in' 'a'
 'technical' 'paper' 'by' 'Arthur' 'Schawlow' 'and' 'Charles' 'Hard'
 'Townes' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 2 2 2 0],"In 1958 , the laser was first described , in a technical paper by Arthur Schawlow and Charles Hard Townes .",in 1958 the laser was first described in a technical paper by arthur schawlow and charles hard townes,in 1958 the laser be first describe in a technical paper by arthur schawlow and charle hard towne
en-doc6378-sent87,"['The' 'gap' 'was' 'largely' 'filled' 'by' 'Eric' 'Temple' 'Bell' ""'s""
 'Men' 'of' 'Mathematics' '(' '1937' ')' ',' 'which' 'one' 'of' 'Cantor'
 ""'s"" 'modern' 'biographers' 'describes' 'as' '""' 'perhaps' 'the' 'most'
 'widely' 'read' 'modern' 'book' 'on' 'the' 'history' 'of' 'mathematics'
 '""' ';' 'and' 'as' '""' 'one' 'of' 'the' 'worst' '""' '.']","[0 0 0 0 0 0 2 2 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0]","The gap was largely filled by Eric Temple Bell 's Men of Mathematics ( 1937 ) , which one of Cantor 's modern biographers describes as "" perhaps the most widely read modern book on the history of mathematics "" ; and as "" one of the worst "" .",the gap was largely filled by eric temple bell s men of mathematics 1937 which one of cantor s modern biographers describes as perhaps the most widely read modern book on the history of mathematics and as one of the worst,the gap be largely fill by eric temple bell s man of mathematic 1937 which one of cantor s modern biographer describe as perhaps the most widely read modern book on the history of mathematic and as one of the bad
en-doc6147-sent108,"['The' 'legislation' 'was' 'attributed' 'to' 'the' 'efforts' 'of' 'Ore.'
 'Senator' 'Charles' 'McNary' ',' 'Washington' 'Senator' 'Clarence' 'Dill'
 ',' 'and' 'Oregon' 'Congressman' 'Charles' 'Martin' ',' 'among' 'others'
 '.']",[0 0 0 0 0 0 0 0 1 0 2 2 0 1 0 2 2 0 0 1 0 2 2 0 0 0 0],"The legislation was attributed to the efforts of Ore. Senator Charles McNary , Washington Senator Clarence Dill , and Oregon Congressman Charles Martin , among others .",the legislation was attributed to the efforts of ore senator charles mcnary washington senator clarence dill and oregon congressman charles martin among others,the legislation be attribute to the effort of ore senator charles mcnary washington senator clarence dill and oregon congressman charle martin among other
en-doc6382-sent1,"['Carnap' 'used' 'the' 'term' '""' 'functor' '""' 'to' 'stand' 'in'
 'relation' 'to' 'functions' 'analogously' 'as' 'predicates' 'stand' 'in'
 'relation' 'to' 'properties' '.']",[2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"Carnap used the term "" functor "" to stand in relation to functions analogously as predicates stand in relation to properties .",carnap used the term functor to stand in relation to functions analogously as predicates stand in relation to properties,carnap use the term functor to stand in relation to function analogously as predicate stand in relation to property
en-doc5934-sent20,"['Heavily' 'influenced' 'by' 'Little' 'Walter' ',' 'he' 'pushed' 'further'
 'the' 'virtuosity' 'on' 'the' 'harp' '.']",[0 0 0 2 2 0 0 0 0 0 0 0 0 0 0],"Heavily influenced by Little Walter , he pushed further the virtuosity on the harp .",heavily influenced by little walter he pushed further the virtuosity on the harp,heavily influence by little walter he push far the virtuosity on the harp
en-doc6264-sent42,"['Despite' 'this' 'setback' ',' 'a' 'mere' 'year' 'later' ',' 'the'
 'settlement' 'grew' 'after' 'it' 'became' 'the' 'base' 'for' 'the'
 'Falkland' 'Islands' 'Company' ""'s"" 'sheep' 'farm' 'in' 'Lafonia' 'in'
 '1922' ',' 'with' 'improved' 'sheep' 'handling' 'and' 'wool' 'shed'
 'being' 'built' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 4 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0]","Despite this setback , a mere year later , the settlement grew after it became the base for the Falkland Islands Company 's sheep farm in Lafonia in 1922 , with improved sheep handling and wool shed being built .",despite this setback a mere year later the settlement grew after it became the base for the falkland islands company s sheep farm in lafonia in 1922 with improved sheep handling and wool shed being built,despite this setback a mere year later the settlement grow after it become the base for the falkland islands company s sheep farm in lafonia in 1922 with improved sheep handling and wool shed be build
en-doc6225-sent45,"['It' 'has' 'been' 'observed' 'that' 'several' 'of' 'the' 'Academy'
 'Award' 'winners' '--' 'particularly' 'Best' 'Picture' '--' 'have' 'not'
 'stood' 'the' 'test' 'of' 'time' 'nor' 'defeated' 'worthier' 'efforts'
 '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],It has been observed that several of the Academy Award winners -- particularly Best Picture -- have not stood the test of time nor defeated worthier efforts .,it has been observed that several of the academy award winners particularly best picture have not stood the test of time nor defeated worthier efforts,it have be observe that several of the academy award winner particularly good picture have not stand the test of time nor defeat worthy effort
en-doc5996-sent21,"['Most' 'are' 'based' 'on' 'the' 'genders' 'of' 'the' 'verbs' 'in' 'the'
 'original' 'Bible' 'languages' 'where' 'the' 'Holy' 'Spirit' 'is' 'the'
 'subject' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],Most are based on the genders of the verbs in the original Bible languages where the Holy Spirit is the subject .,most are based on the genders of the verbs in the original bible languages where the holy spirit is the subject,most be base on the gender of the verb in the original bible language where the holy spirit be the subject
en-doc6189-sent5,"['In' 'January' '2006' 'Sharon' 'suffered' 'a' 'major' 'stroke' 'that'
 'left' 'him' 'in' 'a' 'persistent' 'vegetative' 'state' '.']",[0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0],In January 2006 Sharon suffered a major stroke that left him in a persistent vegetative state .,in january 2006 sharon suffered a major stroke that left him in a persistent vegetative state,in january 2006 sharon suffer a major stroke that leave he in a persistent vegetative state
en-doc6368-sent42,"['The' 'earliest' 'manuscripts' 'of' 'the' 'Gospel' 'of' 'Luke' 'are'
 'three' 'extensive' 'papyrus' 'fragments' 'dating' 'from' 'the' 'late'
 '2nd' 'century' 'or' 'early' '3rd' 'century' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],The earliest manuscripts of the Gospel of Luke are three extensive papyrus fragments dating from the late 2nd century or early 3rd century .,the earliest manuscripts of the gospel of luke are three extensive papyrus fragments dating from the late 2nd century or early 3rd century,the early manuscript of the gospel of luke be three extensive papyrus fragment date from the late 2nd century or early 3rd century
en-doc6383-sent30,"['The' 'program' 'was' 'anchored' 'by' 'veteran' 'journalist' 'John'
 'Hart' '.']",[0 0 0 0 0 0 0 2 2 0],The program was anchored by veteran journalist John Hart .,the program was anchored by veteran journalist john hart,the program be anchor by veteran journalist john hart
en-doc5891-sent6,['Hobart' 'has' 'a' 'mild' 'temperate' 'oceanic' 'climate' '.'],[1 0 0 0 0 0 0 0],Hobart has a mild temperate oceanic climate .,hobart has a mild temperate oceanic climate,hobart have a mild temperate oceanic climate
en-doc6242-sent14,"['Gary' 'was' 'rated' 'the' '17' 'th' 'most' 'dangerous' 'city' 'in' 'the'
 'United' 'States' 'according' 'to' 'Morgan' 'Quitno' ""'s"" '2007'
 'analysis' 'of' 'crime' 'rates' ',' 'down' 'from' '10' 'th' 'highest'
 'in' 'the' '2006' 'edition' '.']",[1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"Gary was rated the 17 th most dangerous city in the United States according to Morgan Quitno 's 2007 analysis of crime rates , down from 10 th highest in the 2006 edition .",gary was rated the 17 th most dangerous city in the united states according to morgan quitno s 2007 analysis of crime rates down from 10 th highest in the 2006 edition,gary be rate the 17 th most dangerous city in the united states accord to morgan quitno s 2007 analysis of crime rate down from 10 th high in the 2006 edition
en-doc5962-sent13,"['As' 'she' 'advanced' 'in' 'years' 'she' 'sacrificed' 'everything' 'to'
 'the' 'passion' 'of' 'sovereignty' ',' 'she' 'encouraged' 'Thierry' 'in'
 'the' 'practice' 'of' 'concubinage' 'in' 'order' 'that' 'there' 'might'
 'be' 'no' 'rival' 'queen' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"As she advanced in years she sacrificed everything to the passion of sovereignty , she encouraged Thierry in the practice of concubinage in order that there might be no rival queen .",as she advanced in years she sacrificed everything to the passion of sovereignty she encouraged thierry in the practice of concubinage in order that there might be no rival queen,as she advance in year she sacrifice everything to the passion of sovereignty she encourage thierry in the practice of concubinage in order that there might be no rival queen
en-doc5885-sent14,"['The' 'need' 'for' 'expanded' 'shipping' 'facilities' 'led' 'to' 'the'
 'dredging' 'of' 'a' 'canal' 'through' 'the' 'marshland' 'between'
 'Oakland' 'and' 'Alameda' 'in' '1902' ',' 'turning' 'Alameda' 'into' 'an'
 'island' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0],"The need for expanded shipping facilities led to the dredging of a canal through the marshland between Oakland and Alameda in 1902 , turning Alameda into an island .",the need for expanded shipping facilities led to the dredging of a canal through the marshland between oakland and alameda in 1902 turning alameda into an island,the need for expand shipping facility lead to the dredging of a canal through the marshland between oakland and alameda in 1902 turn alameda into an island
en-doc6420-sent56,"['Iolanthe' 'is' 'one' 'of' 'a' 'number' 'of' 'Gilbert' ""'s"" 'works' ','
 'including' 'The' 'Wicked' 'World' '(' '1873' ')' ',' 'Broken' 'Hearts'
 '(' '1875' ')' ',' 'Princess' 'Ida' '(' '1884' ')' 'and' 'Fallen'
 'Fairies' '(' '1909' ')' ',' 'where' 'the' 'introduction' 'of' 'men'
 'and' '""' 'mortal' 'love' '""' 'into' 'a' 'tranquil' 'world' 'of' 'women'
 'wreaks' 'havoc' 'with' 'the' 'status' 'quo' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","Iolanthe is one of a number of Gilbert 's works , including The Wicked World ( 1873 ) , Broken Hearts ( 1875 ) , Princess Ida ( 1884 ) and Fallen Fairies ( 1909 ) , where the introduction of men and "" mortal love "" into a tranquil world of women wreaks havoc with the status quo .",iolanthe is one of a number of gilbert s works including the wicked world 1873 broken hearts 1875 princess ida 1884 and fallen fairies 1909 where the introduction of men and mortal love into a tranquil world of women wreaks havoc with the status quo,iolanthe be one of a number of gilbert s work include the wicked world 1873 break heart 1875 princess ida 1884 and fall fairy 1909 where the introduction of man and mortal love into a tranquil world of woman wreak havoc with the status quo
en-doc5894-sent109,"['The' 'video' 'shows' 'Chris' 'Martin' 'dressed' 'as' 'a' 'king'
 'walking' 'through' 'The' 'Hague' '.']",[0 0 0 2 2 0 0 0 0 0 0 1 1 0],The video shows Chris Martin dressed as a king walking through The Hague .,the video shows chris martin dressed as a king walking through the hague,the video show chris martin dress as a king walk through the hague
en-doc5937-sent83,"['All' 'these' 'events' ',' 'and' 'in' 'particular' 'the' 'final'
 'military' 'defeat' ',' 'led' 'to' 'a' 'deep' 'feeling' 'of' 'dislike'
 'among' 'the' 'general' 'population' 'against' 'the' 'Soviet' 'Union' '('
 'which' 'had' 'not' 'kept' 'its' 'promise' 'to' 'offer' 'military'
 'assistance' ')' 'and' 'the' 'Jews' '(' 'since' 'most' 'members' 'of'
 'Kun' ""'s"" 'government' 'were' 'Jewish' ')' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0]","All these events , and in particular the final military defeat , led to a deep feeling of dislike among the general population against the Soviet Union ( which had not kept its promise to offer military assistance ) and the Jews ( since most members of Kun 's government were Jewish ) .",all these events and in particular the final military defeat led to a deep feeling of dislike among the general population against the soviet union which had not kept its promise to offer military assistance and the jews since most members of kun s government were jewish,all these event and in particular the final military defeat lead to a deep feeling of dislike among the general population against the soviet union which have not keep its promise to offer military assistance and the jews since most member of kun s government be jewish
en-doc6052-sent38,"['The' 'game' 'was' 'lost' '23' '--' '20' 'on' 'an' 'overtime' 'field'
 'goal' 'by' 'Lawrence' 'Tynes' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0],The game was lost 23 -- 20 on an overtime field goal by Lawrence Tynes .,the game was lost 23 20 on an overtime field goal by lawrence tynes,the game be lose 23 20 on an overtime field goal by lawrence tyne
en-doc6170-sent62,"['Also' 'in' '1987' 'he' 'directed' 'an' 'episode' 'of' 'Rip' 'Van'
 'Winkle' '.']",[0 0 0 0 0 0 0 0 0 0 0 0],Also in 1987 he directed an episode of Rip Van Winkle .,also in 1987 he directed an episode of rip van winkle,also in 1987 he direct an episode of rip van winkle
en-doc5949-sent48,"['Berry' ""'s"" 'second' 'marriage' 'was' 'to' 'musician' 'Eric' 'Benét' '.']",[2 0 0 0 0 0 0 2 2 0],Berry 's second marriage was to musician Eric Benét .,berry s second marriage was to musician eric ben t,berry s second marriage be to musician eric ben t
en-doc6279-sent14,"['The' 'United' 'Kingdom' 'and' 'Denmark' 'joined' 'the' 'EEC' 'in' '1973'
 ',' 'and' 'hence' 'ceased' 'to' 'be' 'EFTA' 'members' '.']",[0 1 1 0 1 0 0 4 0 0 0 0 0 0 0 0 4 0 0],"The United Kingdom and Denmark joined the EEC in 1973 , and hence ceased to be EFTA members .",the united kingdom and denmark joined the eec in 1973 and hence ceased to be efta members,the united kingdom and denmark join the eec in 1973 and hence cease to be efta member
en-doc6202-sent24,"['Other' 'Harryhausen' 'fantasy' 'and' 'science' 'fantasy'
 'collaborations' 'from' 'the' 'decade' 'include' 'the' '1961'
 'adaptation' 'of' 'Jules' 'Verne' ""'s"" 'Mysterious' 'Island' ',' 'the'
 'critically' 'panned' 'One' 'Million' 'Years' 'B.C.' 'starring' 'Raquel'
 'Welch' ',' 'and' 'The' 'Valley' 'of' 'Gwangi' '(' '1969' ')' '.']","[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0
 0 0 0 0]","Other Harryhausen fantasy and science fantasy collaborations from the decade include the 1961 adaptation of Jules Verne 's Mysterious Island , the critically panned One Million Years B.C. starring Raquel Welch , and The Valley of Gwangi ( 1969 ) .",other harryhausen fantasy and science fantasy collaborations from the decade include the 1961 adaptation of jules verne s mysterious island the critically panned one million years b c starring raquel welch and the valley of gwangi 1969,other harryhausen fantasy and science fantasy collaboration from the decade include the 1961 adaptation of jule verne s mysterious island the critically pan one million year b c star raquel welch and the valley of gwangi 1969
en-doc6048-sent33,['Hoover' 'rejected' 'Democratic' 'overtures' 'in' '1920' '.'],[2 0 0 0 0 0 0],Hoover rejected Democratic overtures in 1920 .,hoover rejected democratic overtures in 1920,hoover reject democratic overture in 1920
en-doc6331-sent54,"['Several' 'to-be' 'professional' 'game' 'designers' 'started' 'their'
 'careers' 'making' 'Doom' 'WADs' 'as' 'a' 'hobby' ',' 'among' 'them'
 'Tim' 'Willits' ',' 'who' 'later' 'became' 'the' 'lead' 'designer' 'at'
 'id' 'Software' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 4 4 0],"Several to-be professional game designers started their careers making Doom WADs as a hobby , among them Tim Willits , who later became the lead designer at id Software .",several to be professional game designers started their careers making doom wads as a hobby among them tim willits who later became the lead designer at id software,several to be professional game designer start their career make doom wad as a hobby among they tim willit who later become the lead designer at i d software
